,profundidad_m,duracion_s,indice_actividad,fish_density,depth_prey_mean,peso_kg,BCI
Invierno,109.85629905031848,285.3861875118614,0.6449619664847109,18.69176886755519,107.21711914750274,74.42998492687373,4.444836505782548
Primavera,85.00111861105724,236.49620045324724,0.6490216621012839,18.584086375306388,82.97542067457788,74.45228759368065,4.529911977477275
Verano,77.61285134468429,176.80149305632185,0.6399116970347717,18.479347699729107,92.79236401062143,74.31711694755239,4.480608377194407
Otoño,92.05535857233727,249.18180558718052,0.6416453259478798,18.57567850591906,89.85037455302455,74.28175471165186,4.487004995176096
